 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
53,159,2,2,68,266,34,34,34.0,0.0,133,133,133.0,0.0,2100628.931,25157.2327,53.0,90.06664199,157,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,40,40,12578.61635,12578.61635,34,133,73.6,54.22453319,2940.3,0,0,0,0,0,0,0,0,1,92.0,34.0,133.0,40,0,0,0,0,0,0,2,68,2,266,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,51673,2,2,90,166,45,45,45.0,0.0,83,83,83.0,0.0,4954.231417,77.40986589,17224.33333,29827.358289999996,51666,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,38.70493294,38.70493294,45,83,60.2,20.81345719,433.2,0,0,0,0,0,0,0,0,1,75.25,45.0,83.0,64,0,0,0,0,0,0,2,90,2,166,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
7496,43,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,139534.8837,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,23255.81395,23255.81395,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,ATTACK
46564,61,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,196721.3115,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16393.442619999998,16393.442619999998,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,440,307,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,69,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28985.50725,69.0,0.0,69,69,69,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0,0,0,40,0,28985.50725,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,251,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,98403702,7,5,377,11595,377,0,53.85714286,142.4926063,7240,0,2319.0,3331.638186,121.66208950000001,0.121946632,8945791.091,29700000.0,98400000,1,98400000,16400000.0,40200000.0,98400000,1,48396,12099.0,17463.31719,37136,85,0,0,0,0,232,168,0.071135535,0.050811097,0,7240,920.9230769,2243.600063,5033741.244,0,0,0,0,1,0,0,0,0,997.6666667000003,53.85714286,2319.0,232,0,0,0,0,0,0,7,377,5,11595,251,235,1,32,986.0,0.0,986,986,98400000.0,0.0,98400000,98400000,ATTACK
53,30843,1,1,54,70,54,54,54.0,0.0,70,70,70.0,0.0,4020.3611840611998,64.8445352268,30843.0,0.0,30843,30843,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,40,32.4222676134,32.4222676134,54,70,59.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,89.0,54.0,70.0,40,0,0,0,0,0,0,1,54,1,70,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5421062,4,4,404,557,392,0,101.0,194.02061750000001,545,0,139.25,270.514787,177.2715383,1.475725605,774437.4286,1844926.7959999999,4957127,44,463935,154645.0,92453.67318,259773,85995,5335111,1778370.333,2790358.403,5000119,130731,0,0,0,0,92,92,0.737862803,0.737862803,0,545,106.7777778,208.6323188,43527.44444,0,0,0,1,0,0,0,0,1,120.125,101.0,139.25,92,0,0,0,0,0,0,4,404,4,557,8192,60,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,206,2,2,102,134,51,51,51.0,0.0,67,67,67.0,0.0,1145631.068,19417.475730000002,68.66666667,112.8730851,199,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,9708.737864,9708.737864,51,67,57.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,71.75,51.0,67.0,40,0,0,0,0,0,0,2,102,2,134,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,150960,23,29,871,42347,389,0,37.86956522,97.23462924,2896,0,1460.2413789999994,817.1887636,286287.7583,344.4621092,2960.0,6837.417837000001,23727,1,150960,6861.818181999999,9614.412547,24881,1,127499,4553.535714,11006.16969,40997,48,0,0,0,0,748,936,152.3582406,192.1038686,0,2896,815.4339623,935.7712884,875667.9042,0,0,0,1,0,0,0,0,1,831.1153846,37.86956522,1460.2413789999994,748,0,0,0,0,0,0,23,871,29,42347,65535,122,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
